Time (s);Linear Acceleration x (m/s^2);Linear Acceleration y (m/s^2);Linear Acceleration z (m/s^2);Absolute acceleration (m/s^2)
53,56785067;-3,48938529;6,337611104;3,539005054;8,053923329
53,57787067;-2,247287727;6,45240715;3,181358939;7,536902869
53,58789167;-0,917615466;4,336381082;2,686685665;5,183097423
53,59791167;-0,034537749;3,267687816;2,104652503;3,886970373
53,60793167;1,47552689;2,186044722;1,265666081;2,925385745
53,61795167;3,51294109;1,886415265;0,479359271;4,016105448
53,62797167;4,680667478;2,614035764;-0,329896399;5,371281286
53,63799167;5,047045825;3,010391616;-0,635358453;5,910905989
53,64801167;3,375334471;3,267415336;-0,3748055;4,712681289
53,65803267;1,007786036;3,643677816;0,054268082;3,780868385
53,66805267;-1,512832272;3,845785655;0,091878542;4,13366308
53,67807267;-3,560808152;4,176701224;-0,173918413;5,491305439
53,68809267;-5,529793704;4,212071616;-0,550191345;6,973010556
53,69811267;-7,397679727;4,396960575;-0,983064301;8,661717097
53,70813267;-8,05733453;3,165463284;-0,954837452;8,709334768
53,71815267;-8,70743089;3,48396112;-0,493725989;9,391544237
53,72817367;-8,917935916;3,221141056;-0,03711575;9,481914801
53,73819367;-7,670496776;3,105681351;0,231949689;8,278621751
53,74821367;-6,952566283;2,672635975;0,327815959;7,455777912
53,75823367;-6,355315304;2,432797807;0,343051501;6,813679044
53,76825367;-5,625654126;1,415724345;0,423271755;5,816478209
53,77827367;-5,505448236;1,837560609;0,229220209;5,808539505
53,78829367;-5,072798717;1,666200938;-0,286597767;5,347116108
53,79831467;-4,669175068;1,64890195;-0,863165975;5,026442973
53,80833467;-5,448409817;1,122007594;-1,341139601;5,722126004
53,81835467;-6,261345286;-0,304263375;-1,467807834;6,438282444
53,82837496;-7,052044963;-1,192826731;-1,244763454;7,259725189
53,83839496;-7,477630461;-2,214930552;-1,14871592;7,882919695
53,84841496;-7,285210873;-3,583379574;-1,107338684;8,193967634
53,85843496;-7,001225642;-4,145173622;-1,282935247;8,236840881
53,86845596;-6,036900498;-4,452364113;-1,488853133;7,647509233
53,87847596;-4,693665254;-5,183965396;-1,515842711;7,1555412
53,88849596;-3,305514331;-6,389196995;-1,07530062;7,273550347
53,89851596;-2,351708328;-6,002461567;-0,493364668;6,465561508
53,90853596;-1,26415633;-5,238761993;-0,396130149;5,403668896
53,91855596;0,059587805;-5,240643042;-0,61640178;5,277105396
53,92857596;0,051180094;-4,416454023;-1,174944191;4,570358781
53,93859696;-0,742068384;-5,123409877;-1,642330849;5,431136609
53,94861696;-2,300520633;-6,546595269;-1,648138304;7,132086979
53,95863696;-4,234806175;-7,51852998;-1,421065192;8,745358923
53,96865696;-5,321287841;-8,050527787;-1,173772409;9,721360172
53,97867696;-5,745999765;-7,493438408;-1,423897583;9,549639617
53,98869696;-5,093584399;-7,578928794;-2,033960981;9,355306568
53,99871796;-4,017608719;-8,218778493;-2,171291027;9,402340372
54,00873796;-3,52336843;-8,664856144;-1,070726928;9,414898472
54,01875796;-2,634251928;-7,925389186;0,404405129;8,361496306
54,02877796;-1,175629923;-7,251219254;0,582580169;7,368967773
54,03879796;-0,096665731;-7,420775059;-0,333291292;7,428884831
54,04881796;0,328193251;-8,970283699;-0,984769349;9,030142364
54,05883796;0,100297875;-10,18075323;-1,1636204;10,24752695
54,06885796;0,906074159;-10,20849944;-1,375642852;10,34054276
54,07887896;3,245648491;-9,911058598;-1,969672892;10,61333727
54,08889896;5,5926349;-9,093662288;-2,478509585;10,95971116
54,09891896;6,837655047;-8,687152746;-2,051739002;11,24409989
54,10893896;7,036358052;-8,054490445;-0,568281461;10,7101865
54,11895896;7,780767662;-7,027811762;1,449492016;10,58449388
54,12897896;7,936112979;-4,997283096;2,709761117;9,762045527
54,13899996;7,398634577;-4,152566841;2,499402856;8,844807495
54,14901996;6,7579727;-3,896421373;1,694783882;7,982768125
54,15903996;5,47825693;-3,952389752;0,751276287;6,796844841
54,16905996;4,433337858;-3,800117732;-0,369974677;5,85083418
54,17907996;4,482700637;-4,45706352;-1,589374956;6,518138766
54,18909996;4,056088368;-5,085984773;-2,114053656;6,840198595
54,19911996;3,509158819;-5,428899997;-1,50532357;6,637254692
54,20914096;3,481754966;-5,241004985;-0,439269591;6,307432811
54,21916096;5,021664231;-4,68824547;0,084377953;6,87050776
54,22918096;6,226100024;-3,636325527;-0,234117837;7,214013862
54,23920096;6,932446014;-2,698846704;-1,081423678;7,517450261
54,24922096;7,476415409;-2,676284637;-1,37065503;8,05841064
54,25924096;7,604773487;-2,909317816;-0,24701811;8,146025282
54,26926096;7,40655697;-1,51393301;1,483551901;7,703895479
54,27928196;7,327571611;-0,435059157;2,418434122;7,728609564
54,28930196;6,619067999;-0,229208515;2,323113981;7,018650603
54,29932196;5,357484444;-0,690948517;1,836871076;5,70562396
54,30934196;3,824264686;-1,296537625;1,286503365;4,238053929
54,31936196;2,659681176;-1,651867658;0,782761058;3,22727216
54,32938196;2,685244911;-0,847688395;0,243641636;2,826389409
54,33940196;3,479161726;0,119004872;-0,265557146;3,491310509
54,34942296;4,950561504;0,39028118;-0,222032812;4,970882937
54,35944296;6,207501785;1,2717466;0,500398868;6,35616369
54,36946296;6,528811548;2,098752809;1,254593939;6,971667629
54,37948296;7,31607774;1,685663395;1,724395351;7,703245673
54,38950296;6,721306565;3,089833058;1,513973941;7,550837527
54,39952296;5,937356329;3,224771007;0,992488989;6,829083586
54,40954396;4,562518639;3,64239903;0,6372262;5,872793565
54,41956396;2,905166878;4,020233826;0,706708371;5,010160808
54,42958396;1,664596315;4,38106258;1,134725872;4,822052782
54,43960396;0,887278723;4,956078937;1,546242385;5,266958086
54,44962396;0,994261134;5,406467739;1,984097096;5,844235613
54,45964396;0,92581699;6,363875628;2,410873526;6,86792263
54,46966396;0,899877353;7,342410091;2,404979532;7,778476184
54,47968496;1,430249706;7,415488007;1,989032;7,80969429
54,48970496;1,290104226;7,091399648;1,4512684;7,352448425
54,49972496;0,866688337;6,719274073;1,039632604;6,854241657
54,50974496;0,422773316;6,779762934;0,775803749;6,837089598
54,51976496;0,351361272;6,33113122;0,674296231;6,376625493
54,52978496;-0,418576514;6,063421129;0,711450317;6,119349936
54,53980496;-1,402012625;5,8885695;0,642925919;6,087219718
54,54982596;-2,289102044;5,037462823;0,593411697;5,56490407
54,55984596;-3,229789672;4,748773507;0,492862977;5,764139577
54,56986596;-3,847973683;4,542774931;0,346109558;5,963513844
54,57988596;-3,72288303;4,617416977;-0,022294191;5,931348466
54,58990596;-2,86324585;4,27969525;-0,295803769;5,157661107
54,59992596;-2,402985485;4,467298486;-0,197975028;5,076444535
54,60994596;-1,899911516;4,08757387;0,072065617;4,508116831
54,61996696;-0,745456553;2,798411338;0,595058127;2,956502268
54,62998696;-0,142818096;2,322397698;1,187209164;2,612162643
54,64000696;0,59740286;3,282640316;1,42960432;3,629929219
54,65002696;1,388620601;4,171687821;1,44490429;4,628065995
54,66004696;1,366257778;4,703939397;1,052266171;5,010086852
54,67006696;0,094109182;6,105669016;0,12827629;6,107741439
54,68008696;-1,131808696;4,129708321;-0,533477737;4,315099099
54,69010796;-3,309190183;2,786190657;-0,639354294;4,372913441
54,70012796;-5,675310436;1,912179267;-0,521297987;6,011433247
54,71014796;-6,326250549;1,783610689;-0,318208984;6,580575207
54,72016796;-6,879451529;2,741230246;-0,583102983;7,428405326
54,73018796;-6,376531341;1,689508524;-0,886299826;6,65583341
54,74020796;-6,469281045;1,794174854;-0,883212496;6,771316339
54,75022896;-6,694839728;1,704655736;-0,872096939;6,963281068
54,76024896;-6,332963737;2,212848943;-0,783709331;6,754060294
54,77026896;-6,214146561;2,273055384;-1,475744845;6,77939681
54,78028896;-5,328668196;0,955721551;-2,154137635;5,826527043
54,79030896;-5,83281513;0,866652669;-2,563877764;6,43010796
54,80032896;-6,615257953;-0,405384538;-2,366382208;7,037452605
54,81034896;-6,825854196;-1,305740558;-1,463613042;7,102070617
54,82036996;-7,18435225;-1,465765986;-0,519122822;7,350705795
54,83038996;-6,779329655;-1,742535169;0,060387704;6,999956147
54,84040996;-5,664868478;-2,05927884;-0,048407929;6,027744814
54,85042996;-4,534510184;-1,881004252;-1,241841016;5,063805754
54,86044996;-2,721581848;-2,581275569;-2,537070619;4,528434458
54,87046996;-1,968868607;-3,052943559;-3,151911192;4,809516829
54,88049096;-1,716950676;-3,613841813;-3,211393747;5,130382254
54,89051096;-1,561407431;-4,207606097;-2,393554219;5,086358622
54,90053096;-1,612074432;-4,188924243;-1,628600417;4,774747073
54,91055096;-1,612163017;-4,221882659;-1,334856184;4,712239787
54,92057096;-1,986670163;-4,497345573;-1,809887491;5,239147667
54,93059096;-2,856581778;-4,647136036;-2,660008328;6,068902462
54,94061096;-3,696670547;-5,654874417;-3,343320966;7,537955484
54,95063196;-4,945486121;-5,740672367;-3,885704012;8,515388885
54,96065196;-5,510011404;-6,749328761;-3,963295394;9,571905493
54,97067196;-5,208037798;-7,60695216;-2,904834756;9,665787285
54,98069196;-4,960685374;-8,05049972;-1,270108795;9,541075488
54,99071196;-4,130210597;-8,217883869;0,786831744;9,230999895
55,00073196;-2,584104744;-7,745094969;1,772623186;8,355015641
55,01075196;0,139742899;-6,922919145;1,427448013;7,069932489
